name,ra,dec,dist,pmra,pmdec,rv,rcluster,n_star
LP_2068,283.967,-5.093999999999999,1988.0715705765408,-0.47,-4.333,0,0.071,0
LP_2094,175.495,-61.961000000000006,1834.8623853211009,-3.7119999999999997,1.2690000000000001,0,0.107,0
LP_2100,227.612,-60.495,2079.002079002079,-3.383,-3.509,0,0.13699999999999998,0
LP_2117,282.302,-4.466,1647.4464579901153,1.089,0.094,0,0.184,0
LP_2123,297.959,22.107,1718.2130584192437,-0.7709999999999999,-2.324,0,0.078,0
LP_2139,67.683,46.302,1149.4252873563219,0.308,-4.2330000000000005,0,0.198,0
LP_2198,107.506,4.667,1250.0,0.6779999999999999,-1.008,0,0.166,0
LP_2210,247.197,-54.963,1461.9883040935672,0.04,-1.284,0,0.124,0
LP_2219,130.84799999999998,-45.788000000000004,1543.20987654321,-5.079,4.603,0,0.377,0
LP_2220,127.45,-41.343,1396.6480446927376,-1.7619999999999998,1.07,0,0.193,0
LP_2238,167.713,-56.821000000000005,1228.5012285012285,-7.446000000000001,0.66,0,0.106,0
LP_2253,307.515,45.92100000000001,1483.6795252225518,-1.251,-0.9690000000000001,0,0.121,0
LP_273,245.72299999999998,-50.172,2688.1720430107525,-2.322,-4.119,0,0.07,0
LP_282,265.248,-33.257,2906.9767441860467,-0.065,-1.024,0,0.067,0
LP_321,296.389,21.153000000000002,2304.147465437788,-0.36,-3.531,0,0.076,0
LP_403,161.024,-58.095,2702.702702702703,-7.047000000000001,2.935,0,0.095,0
LP_5,156.138,-72.51,1960.7843137254902,-6.89,1.462,0,0.627,0
LP_589,119.81200000000001,-19.125999999999998,3205.128205128205,-1.3869999999999998,0.501,0,0.063,0
LP_597,282.10400000000004,8.714,2392.3444976076557,-0.057999999999999996,-1.49,0,0.067,0
LP_658,95.274,-3.431,1485.884101040119,-1.4580000000000002,1.6130000000000002,0,0.13699999999999998,0
